,vacancy,name_vac,id_empl,skill
354,38239578,Специалист центра мониторинга и управления нагрузкой (Аналитик),3127,Экономист
355,38239578,Специалист центра мониторинга и управления нагрузкой (Аналитик),3127,Экономическая и информационная безопасность
356,38239578,Специалист центра мониторинга и управления нагрузкой (Аналитик),3127,Аналитик
357,38239578,Специалист центра мониторинга и управления нагрузкой (Аналитик),3127,Экономист
358,38239578,Специалист центра мониторинга и управления нагрузкой (Аналитик),3127,Аналитик
359,38276975,Инженер по сопровождению Hadoop,3529,Банковское ПО
360,38276975,Инженер по сопровождению Hadoop,3529,"Начальный уровень, Мало опыта"
361,38276975,Инженер по сопровождению Hadoop,3529,Системный администратор
362,38276975,Инженер по сопровождению Hadoop,3529,Инженер
363,38276975,Инженер по сопровождению Hadoop,3529,"Поддержка, Helpdesk"
364,38326034,Специалист по дистанционным продажам (без поиска клиентов),3529,Продажи
365,38326034,Специалист по дистанционным продажам (без поиска клиентов),3529,"Продажи по телефону, Телемаркетинг"
366,38326059,Специалист по работе с клиентами (контактный центр),3529,Привлечение клиентов
367,38326059,Специалист по работе с клиентами (контактный центр),3529,Продажа финансовых продуктов
368,38326059,Специалист по работе с клиентами (контактный центр),3529,Внутренние операции (Back Office)
369,38326059,Специалист по работе с клиентами (контактный центр),3529,Сотрудник call-центра
370,38326059,Специалист по работе с клиентами (контактный центр),3529,"Начальный уровень, Мало опыта"
371,38326059,Специалист по работе с клиентами (контактный центр),3529,"Финансы, Банки, Инвестиции"
372,38326073,Специалист контактного центра со знанием таджикского/узбекского языков,3529,"Начальный уровень, Мало опыта"
373,38326073,Специалист контактного центра со знанием таджикского/узбекского языков,3529,"Начальный уровень, Мало опыта"
374,38326073,Специалист контактного центра со знанием таджикского/узбекского языков,3529,"Начальный уровень, Мало опыта"
375,38326073,Специалист контактного центра со знанием таджикского/узбекского языков,3529,Сотрудник call-центра
