,id,name,name_vac
556,3330366,Нотариус Дегтярева Анна Александровна,Специалист
557,2225176,Агентство недвижимости «Family Сapital»,Специалист
558,39601,Цифрал-Сервис,Специалист
559,1768229,СКАД тех,Специалист
560,46529,"Балтийский лизинг, группа компаний",Специалист
561,41512,ФАРМПЕРСПЕКТИВА,Специалист
562,4181,Банк ВТБ (ПАО),Специалист
563,1635256,Единение,Специалист
564,2201159,ВОСТОК­ОЙЛ,Специалист
565,3077756,РН-Учет,Специалист
566,1740,Яндекс,Специалист
567,3529,Сбербанк,Специалист
568,1689259,JCat.ru,Специалист
569,3529,Сбербанк,Специалист
570,902137,Директ Кредит,Специалист
571,4380972,Юнайтед Девелоперс,Специалист
572,7944,Совкомбанк,Специалист
573,49357,"МАГНИТ, Розничная сеть",Специалист
574,2788064,Чернова Л.В.,Специалист
575,733,ЛАНИТ,Специалист
576,3036416,ЦентрПроф,Специалист
577,3414463,ГНП сеть,Специалист
578,3529,Сбербанк,Специалист
579,2931950,Группа Компаний Мечел,Специалист
580,3437792,ГЕММА,Специалист
581,4925,Kelly Services,Специалист
582,3565331,S8 Capital,Специалист
583,3077756,РН-Учет,Специалист
584,897729,Огни Самары,Специалист
585,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
586,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
587,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
588,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
589,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
590,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
591,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
592,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
593,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
594,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
595,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
596,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
597,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
598,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
599,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
600,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
601,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
602,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
603,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
604,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
605,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
606,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
607,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
608,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
609,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
610,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
611,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
612,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
613,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
614,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
615,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
616,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
617,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
618,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
619,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
620,4586591,Пункт отбора на военную службу по контракту по Самарской области,Специалист
621,3437792,ГЕММА,Специалист
622,3403332,Микрокредитная компания Касса Взаимопомощи Пятый Элемент Деньги,Специалист
623,46529,"Балтийский лизинг, группа компаний",Специалист
624,1988,Страховая группа МАКС,Специалист
625,149772,Земский банк,Специалист
626,4424912,МКК На Личное,Специалист
627,44534,Аптеки «ВИТА»,Специалист
628,2723370,PRODвижение (ООО Продвижение),Специалист
629,1740,Яндекс,Специалист
630,1740,Яндекс,Специалист
631,41512,ФАРМПЕРСПЕКТИВА,Специалист
632,3529,Сбербанк,Специалист
633,41512,ФАРМПЕРСПЕКТИВА,Специалист
634,2559409,Тесла Таргет,Специалист
635,3508331,НЧУПО Колледж управления и экономики,Специалист
636,1496,Банк Хоум Кредит,Специалист
637,1942336,Перекресток,Специалист
