,vacancy,spec_name_vac,id_empl,skill,date
14737,43557387,Специалист по прямым продажам,2476133,Менеджер по работе с клиентами,19-04-2021
14738,43557405,Главный инженер (промышленное строительство),2322003,Строительство,19-04-2021
14739,43557405,Главный инженер (промышленное строительство),2322003,Инженер,19-04-2021
14740,43557405,Главный инженер (промышленное строительство),2322003,Прораб,19-04-2021
14741,43557405,Главный инженер (промышленное строительство),2322003,Управление проектами,19-04-2021
14742,43557405,Главный инженер (промышленное строительство),2322003,"Проектирование, Архитектура",19-04-2021
14743,43557405,Главный инженер (промышленное строительство),2322003,Главный инженер,19-04-2021
14744,43557469,Специалист по выкупу автомобилей с онлайн площадок,1005830,Тендеры,19-04-2021
14745,43557469,Специалист по выкупу автомобилей с онлайн площадок,1005830,"Автомобили, Запчасти",19-04-2021
14746,43557469,Специалист по выкупу автомобилей с онлайн площадок,1005830,Продажа,19-04-2021
14747,43557469,Специалист по выкупу автомобилей с онлайн площадок,1005830,Эксперт-оценщик,19-04-2021
14748,43557522,Специалист клиентского сервиса,45731,Другое,19-04-2021
14749,43557522,Специалист клиентского сервиса,45731,Ввод данных,19-04-2021
14750,43557528,Преподаватель русского языка в Республику Узбекистан,1026,Гуманитарные науки,19-04-2021
14751,43557528,Преподаватель русского языка в Республику Узбекистан,1026,Языки,19-04-2021
14752,43557528,Преподаватель русского языка в Республику Узбекистан,1026,Преподавание,19-04-2021
14753,43557966,Менеджер по продажам,1729313,Услуги для бизнеса,19-04-2021
14754,43557966,Менеджер по продажам,1729313,Решения по автоматизации процессов,19-04-2021
14755,43557966,Менеджер по продажам,1729313,Продажи,19-04-2021
14756,43557966,Менеджер по продажам,1729313,CRM системы,19-04-2021
14757,43558019,Вальцовщик на станки с ЧПУ,1648566,Металлургия,19-04-2021
14758,43558030,Вальцовщик на станки с ЧПУ,1648566,Металлургия,19-04-2021
14759,43558152,Оператор колл-центра в МТС (входящая линия),1689259,"Начальный уровень, Мало опыта",19-04-2021
14760,43558152,Оператор колл-центра в МТС (входящая линия),1689259,Сотрудник call-центра,19-04-2021
14761,43558152,Оператор колл-центра в МТС (входящая линия),1689259,"Начальный уровень, Мало опыта",19-04-2021
14762,43558152,Оператор колл-центра в МТС (входящая линия),1689259,"Продажи по телефону, Телемаркетинг",19-04-2021
14763,43558153,Удаленный оператор call-центра МТС (входящая линия),1689259,"Начальный уровень, Мало опыта",19-04-2021
14764,43558153,Удаленный оператор call-центра МТС (входящая линия),1689259,Сотрудник call-центра,19-04-2021
14765,43558153,Удаленный оператор call-центра МТС (входящая линия),1689259,"Начальный уровень, Мало опыта",19-04-2021
14766,43558153,Удаленный оператор call-центра МТС (входящая линия),1689259,"Продажи по телефону, Телемаркетинг",19-04-2021
14767,43558154,Начинающий специалист в МТС,1689259,"Начальный уровень, Мало опыта",19-04-2021
14768,43558154,Начинающий специалист в МТС,1689259,Сотрудник call-центра,19-04-2021
14769,43558154,Начинающий специалист в МТС,1689259,"Начальный уровень, Мало опыта",19-04-2021
14770,43558154,Начинающий специалист в МТС,1689259,"Продажи по телефону, Телемаркетинг",19-04-2021
14771,43558155,Начинающий специалист / оператор в МТС (удаленно),1689259,"Начальный уровень, Мало опыта",19-04-2021
14772,43558155,Начинающий специалист / оператор в МТС (удаленно),1689259,Сотрудник call-центра,19-04-2021
14773,43558155,Начинающий специалист / оператор в МТС (удаленно),1689259,"Начальный уровень, Мало опыта",19-04-2021
14774,43558155,Начинающий специалист / оператор в МТС (удаленно),1689259,"Продажи по телефону, Телемаркетинг",19-04-2021
14775,43558252,Менеджер по работе с клиентами,5169564,Дилерские сети,19-04-2021
14776,43558252,Менеджер по работе с клиентами,5169564,Дистрибуция,19-04-2021
14777,43558252,Менеджер по работе с клиентами,5169564,Менеджер по работе с клиентами,19-04-2021
14778,43558252,Менеджер по работе с клиентами,5169564,Торговые сети,19-04-2021
14779,43558252,Менеджер по работе с клиентами,5169564,Менеджер по работе с клиентами,19-04-2021
14780,43558364,Менеджер по продажам услуг,4700111,Услуги для населения,19-04-2021
14781,43558364,Менеджер по продажам услуг,4700111,Другое,19-04-2021
14782,43558364,Менеджер по продажам услуг,4700111,Дистрибуция,19-04-2021
14783,43558364,Менеджер по продажам услуг,4700111,Прямые продажи,19-04-2021
14784,43558364,Менеджер по продажам услуг,4700111,Менеджер по работе с клиентами,19-04-2021
14785,43558364,Менеджер по продажам услуг,4700111,Менеджер по работе с клиентами,19-04-2021
14786,43558870,Менеджер по продажам корпусной мебели,2709390,Мебель,19-04-2021
14787,43559474,Менеджер расчетного отдела,1940802,Организационное консультирование,19-04-2021
14788,43559620,Специалист по взысканию задолженности,833155,"Взыскание задолженности, Коллекторская деятельность",19-04-2021
14789,43559620,Специалист по взысканию задолженности,833155,Работа с проблемными заемщиками,19-04-2021
14790,43559620,Специалист по взысканию задолженности,833155,Коммерческий банк,19-04-2021
14791,43559725,Помощник логиста,4453801,Делопроизводство,19-04-2021
14792,43559725,Помощник логиста,4453801,Автоперевозки,19-04-2021
14793,43559725,Помощник логиста,4453801,Диспетчер,19-04-2021
14794,43559725,Помощник логиста,4453801,Логистика,19-04-2021
14795,43559725,Помощник логиста,4453801,"Закупки, Снабжение",19-04-2021
14796,43559729,Ведущий специалист по работе с клиентами,2337296,Финансовые услуги,19-04-2021
14797,43559729,Ведущий специалист по работе с клиентами,2337296,"Начальный уровень, Мало опыта",19-04-2021
14798,43559729,Ведущий специалист по работе с клиентами,2337296,Продажа финансовых продуктов,19-04-2021
14799,43559729,Ведущий специалист по работе с клиентами,2337296,Исследования рынка,19-04-2021
14800,43559729,Ведущий специалист по работе с клиентами,2337296,"Начальный уровень, Мало опыта",19-04-2021
14801,43559729,Ведущий специалист по работе с клиентами,2337296,"Финансы, Банки, Инвестиции",19-04-2021
14802,43559736,Специалист по работе с клиентами (удаленно),4023,"Начальный уровень, Мало опыта",19-04-2021
14803,43559830,Менеджер отдела поставок,9187,Мебель,19-04-2021
14804,43559830,Менеджер отдела поставок,9187,Строительные материалы,19-04-2021
14805,43559830,Менеджер отдела поставок,9187,Сельское хозяйство,19-04-2021
